category,budget_max,duration,budget_per_day,requirement_title
Frontend Developer,12000,28,428.57,UI Component Specifications
Frontend Developer,12000,28,428.57,Font and Icon License Files
Frontend Developer,12000,28,428.57,Build and Bundle Config
Frontend Developer,10000,25,400.0,Performance Benchmarks
Frontend Developer,10000,25,400.0,Browser Compatibility Matrix
Frontend Developer,9000,45,200.0,Responsive Design Spec
Frontend Developer,9000,45,200.0,State Management Plan
Frontend Developer,9000,45,200.0,Frontend Tech Stack Agreement
Frontend Developer,8000,40,200.0,Accessibility Audit Report
Frontend Developer,8000,40,200.0,Cross-Device Testing Report
Frontend Developer,7500,50,150.0,Animation and Motion Guidelines
Frontend Developer,7500,50,150.0,Error Boundary Strategy
Frontend Developer,6500,40,162.5,PWA Manifest and Config
Frontend Developer,6000,35,171.43,UI Component Specifications
Frontend Developer,6000,35,171.43,Browser Compatibility Matrix
Frontend Developer,5000,60,83.33,Asset Delivery Guidelines
Frontend Developer,5000,60,83.33,State Management Plan
Frontend Developer,5000,60,83.33,Animation and Motion Guidelines
Frontend Developer,4500,55,81.82,SEO and Keywords Strategy
Frontend Developer,4500,55,81.82,Third-Party Integrations List
Frontend Developer,4000,65,61.54,Error Boundary Strategy
Frontend Developer,4000,65,61.54,Build and Bundle Config
Frontend Developer,3500,55,63.64,PWA Manifest and Config
Frontend Developer,3500,55,63.64,Device and OS Target List
Frontend Developer,3000,55,54.55,Browser Compatibility Matrix
Frontend Developer,2500,80,31.25,SEO and Keywords Strategy
Frontend Developer,2500,80,31.25,Project Scope Statement
Frontend Developer,2000,75,26.67,Third-Party Integrations List
Frontend Developer,2000,75,26.67,Environment Parity Checklist
Frontend Developer,1800,90,20.0,SEO and Keywords Strategy
Frontend Developer,1800,90,20.0,Project Scope Statement
Frontend Developer,1500,100,15.0,Environment Parity Checklist
Frontend Developer,1500,100,15.0,Device and OS Target List
Frontend Developer,1200,90,13.33,SEO and Keywords Strategy
Frontend Developer,1000,80,12.5,Project Scope Statement
Frontend Developer,7000,40,175.0,Responsive Design Spec
Frontend Developer,7000,40,175.0,Performance Benchmarks
Frontend Developer,5500,70,78.57,State Management Plan
Frontend Developer,4800,60,80.0,Asset Delivery Guidelines
Frontend Developer,3200,65,49.23,Third-Party Integrations List
Frontend Developer,2200,85,25.88,SEO and Keywords Strategy
Frontend Developer,8500,45,188.89,Frontend Tech Stack Agreement
Frontend Developer,6800,38,178.95,Cross-Device Testing Report
Frontend Developer,3800,70,54.29,Animation and Motion Guidelines
Frontend Developer,1600,95,16.84,Environment Parity Checklist
Backend Developer,25000,45,555.56,Microservices Architecture Doc
Backend Developer,25000,45,555.56,GDPR Compliance Checklist
Backend Developer,25000,45,555.56,API Versioning Strategy
Backend Developer,20000,40,500.0,Caching Strategy Document
Backend Developer,20000,40,500.0,Data Anonymization Plan
Backend Developer,18000,42,428.57,Queue Architecture Doc
Backend Developer,18000,42,428.57,Error Handling Standards
Backend Developer,16000,38,421.05,Database Migration Plan
Backend Developer,15000,35,428.57,Authentication and Security
Backend Developer,15000,35,428.57,GDPR Compliance Checklist
Backend Developer,12000,55,218.18,API Documentation
Backend Developer,12000,55,218.18,Microservices Architecture Doc
Backend Developer,11000,50,220.0,Error Handling Standards
Backend Developer,11000,50,220.0,Webhook Integration Guide
Backend Developer,10000,55,181.82,Authentication and Security
Backend Developer,10000,55,181.82,Caching Strategy Document
Backend Developer,9500,45,211.11,Rate Limiting Policy
Backend Developer,9000,50,180.0,API Versioning Strategy
Backend Developer,8500,45,188.89,Background Jobs Specification
Backend Developer,8000,40,200.0,Database Migration Plan
Backend Developer,7000,75,93.33,Rate Limiting Policy
Backend Developer,7000,75,93.33,Webhook Integration Guide
Backend Developer,6500,70,92.86,Search and Indexing Strategy
Backend Developer,6000,65,92.31,Background Jobs Specification
Backend Developer,5500,65,84.62,Pagination Standard
Backend Developer,5000,60,83.33,Third-Party API Contracts
Backend Developer,4500,60,75.0,API Documentation
Backend Developer,4500,60,75.0,Search and Indexing Strategy
Backend Developer,4000,65,61.54,Pagination Standard
Backend Developer,3800,55,69.09,CI/CD Pipeline Configuration
Backend Developer,3000,90,33.33,Health Check Endpoint Spec
Backend Developer,3000,90,33.33,Environment Parity Checklist
Backend Developer,2500,80,31.25,Health Check Endpoint Spec
Backend Developer,2000,80,25.0,API Response Envelope Standard
Backend Developer,2000,80,25.0,Rate Limiting Policy
Backend Developer,1500,100,15.0,Health Check Endpoint Spec
Backend Developer,1500,100,15.0,Environment Parity Checklist
Backend Developer,1200,90,13.33,API Response Envelope Standard
Backend Developer,1000,85,11.76,Health Check Endpoint Spec
Backend Developer,900,80,11.25,Project Scope Statement
Backend Developer,14000,50,280.0,Queue Architecture Doc
Backend Developer,13000,48,270.83,Microservices Architecture Doc
Backend Developer,8800,55,160.0,Caching Strategy Document
Backend Developer,7200,72,100.0,Webhook Integration Guide
Backend Developer,5200,65,80.0,Background Jobs Specification
Backend Developer,3500,85,41.18,Health Check Endpoint Spec
Backend Developer,16500,40,412.5,Data Anonymization Plan
Backend Developer,9200,46,200.0,Error Handling Standards
Backend Developer,4200,60,70.0,Search and Indexing Strategy
Backend Developer,1800,95,18.95,API Response Envelope Standard
Full Stack Developer,28000,40,700.0,Infrastructure as Code Setup
Full Stack Developer,28000,40,700.0,Multi-tenancy Architecture Doc
Full Stack Developer,28000,40,700.0,Payment Gateway Integration Doc
Full Stack Developer,22000,42,523.81,Logging and Audit Trail Spec
Full Stack Developer,22000,42,523.81,Real-Time Feature Spec
Full Stack Developer,20000,38,526.32,Session Management Policy
Full Stack Developer,20000,38,526.32,Deployment Checklist
Full Stack Developer,18000,40,450.0,Admin Panel Requirements
Full Stack Developer,18000,40,450.0,Multi-tenancy Architecture Doc
Full Stack Developer,15000,35,428.57,Payment Gateway Integration Doc
Full Stack Developer,14000,55,254.55,Real-Time Feature Spec
Full Stack Developer,14000,55,254.55,Infrastructure as Code Setup
Full Stack Developer,12000,50,240.0,Logging and Audit Trail Spec
Full Stack Developer,12000,50,240.0,Session Management Policy
Full Stack Developer,10000,45,222.22,Admin Panel Requirements
Full Stack Developer,10000,45,222.22,Deployment Checklist
Full Stack Developer,9500,48,197.92,Feature Flag Configuration
Full Stack Developer,9000,50,180.0,Email and Notification Templates
Full Stack Developer,8500,45,188.89,File Upload Specification
Full Stack Developer,8000,42,190.48,Real-Time Feature Spec
Full Stack Developer,7500,65,115.38,Feature Flag Configuration
Full Stack Developer,7500,65,115.38,Search Feature Requirements
Full Stack Developer,7000,70,100.0,Onboarding Flow Documentation
Full Stack Developer,6500,65,100.0,Localization and i18n Plan
Full Stack Developer,6000,70,85.71,File Upload Specification
Full Stack Developer,5500,65,84.62,Email and Notification Templates
Full Stack Developer,5000,60,83.33,Search Feature Requirements
Full Stack Developer,4500,60,75.0,Localization and i18n Plan
Full Stack Developer,4000,60,66.67,Onboarding Flow Documentation
Full Stack Developer,3800,55,69.09,Database ERD
Full Stack Developer,3000,90,33.33,Project Scope Statement
Full Stack Developer,3000,90,33.33,Database ERD
Full Stack Developer,2500,80,31.25,Environment Parity Checklist
Full Stack Developer,2000,75,26.67,Project Scope Statement
Full Stack Developer,2000,75,26.67,Third-Party Integrations List
Full Stack Developer,1800,85,21.18,Database ERD
Full Stack Developer,1500,90,16.67,Project Scope Statement
Full Stack Developer,1200,80,15.0,Environment Parity Checklist
Full Stack Developer,1000,90,11.11,Project Scope Statement
Full Stack Developer,900,85,10.59,Third-Party Integrations List
Full Stack Developer,16000,42,380.95,Infrastructure as Code Setup
Full Stack Developer,11500,50,230.0,Session Management Policy
Full Stack Developer,8200,44,186.36,Real-Time Feature Spec
Full Stack Developer,6200,68,91.18,Search Feature Requirements
Full Stack Developer,4800,62,77.42,File Upload Specification
Full Stack Developer,3200,88,36.36,Database ERD
Full Stack Developer,24000,45,533.33,Multi-tenancy Architecture Doc
Full Stack Developer,13000,52,250.0,Payment Gateway Integration Doc
Full Stack Developer,5800,68,85.29,Feature Flag Configuration
Full Stack Developer,1600,88,18.18,Project Scope Statement
UI/UX Designer,14000,25,560.0,Component Library Documentation
UI/UX Designer,14000,25,560.0,Design Tokens Export
UI/UX Designer,14000,25,560.0,User Journey Maps
UI/UX Designer,12000,28,428.57,Prototype Link and Credentials
UI/UX Designer,12000,28,428.57,Design QA Checklist
UI/UX Designer,10000,25,400.0,Component Library Documentation
UI/UX Designer,10000,25,400.0,Figma or XD Source Files
UI/UX Designer,9500,25,380.0,Design Tokens Export
UI/UX Designer,9500,25,380.0,Dark Mode Design Spec
UI/UX Designer,9000,24,375.0,User Journey Maps
UI/UX Designer,8500,38,223.68,Component Library Documentation
UI/UX Designer,8500,38,223.68,Wireframes and Mockups
UI/UX Designer,8000,40,200.0,Onboarding UX Flow
UI/UX Designer,8000,40,200.0,Accessibility Requirements
UI/UX Designer,7500,38,197.37,Design QA Checklist
UI/UX Designer,7500,38,197.37,Icon Set Source Files
UI/UX Designer,7000,40,175.0,Motion Design Spec
UI/UX Designer,7000,40,175.0,User Journey Maps
UI/UX Designer,6500,38,171.05,Prototype Link and Credentials
UI/UX Designer,6000,35,171.43,Information Architecture Doc
UI/UX Designer,5500,55,100.0,Usability Testing Report
UI/UX Designer,5500,55,100.0,Wireframes and Mockups
UI/UX Designer,5000,55,90.91,User Persona Profiles
UI/UX Designer,4500,55,81.82,Brand Style Guide
UI/UX Designer,4500,55,81.82,Heuristic Evaluation Report
UI/UX Designer,4000,50,80.0,Content Audit Document
UI/UX Designer,4000,50,80.0,Competitor UX Analysis
UI/UX Designer,3800,55,69.09,Copy and Microcopy Guidelines
UI/UX Designer,3500,60,58.33,Information Architecture Doc
UI/UX Designer,3200,55,58.18,Heuristic Evaluation Report
UI/UX Designer,2800,80,35.0,User Persona Profiles
UI/UX Designer,2800,80,35.0,Brand Style Guide
UI/UX Designer,2500,75,33.33,Wireframes and Mockups
UI/UX Designer,2000,70,28.57,Copy and Microcopy Guidelines
UI/UX Designer,2000,70,28.57,User Persona Profiles
UI/UX Designer,1800,80,22.5,Brand Style Guide
UI/UX Designer,1500,80,18.75,Wireframes and Mockups
UI/UX Designer,1500,80,18.75,Content Audit Document
UI/UX Designer,1200,75,16.0,User Persona Profiles
UI/UX Designer,1000,70,14.29,Brand Style Guide
UI/UX Designer,11500,26,442.31,Component Library Documentation
UI/UX Designer,9200,36,255.56,Design Tokens Export
UI/UX Designer,7200,42,171.43,Accessibility Requirements
UI/UX Designer,5200,58,89.66,Competitor UX Analysis
UI/UX Designer,4200,52,80.77,Usability Testing Report
UI/UX Designer,3000,78,38.46,User Persona Profiles
UI/UX Designer,13500,27,500.0,Design QA Checklist
UI/UX Designer,8200,39,210.26,Icon Set Source Files
UI/UX Designer,5800,62,93.55,Motion Design Spec
UI/UX Designer,2200,72,30.56,Copy and Microcopy Guidelines
Mobile App Developer,20000,30,666.67,App Permissions Justification
Mobile App Developer,20000,30,666.67,Mobile CI/CD Pipeline Config
Mobile App Developer,18000,32,562.5,Analytics Event Tracking Spec
Mobile App Developer,18000,32,562.5,Biometric Auth Specification
Mobile App Developer,16000,35,457.14,Deep Linking Configuration
Mobile App Developer,16000,35,457.14,App Store Assets Package
Mobile App Developer,14000,32,437.5,Crash Reporting Setup
Mobile App Developer,14000,32,437.5,Push Notification Strategy
Mobile App Developer,12000,30,400.0,App Onboarding Flow Spec
Mobile App Developer,12000,30,400.0,Mobile Security Checklist
Mobile App Developer,10000,45,222.22,Analytics Event Tracking Spec
Mobile App Developer,10000,45,222.22,Deep Linking Configuration
Mobile App Developer,9500,42,226.19,App Permissions Justification
Mobile App Developer,9000,45,200.0,Mobile CI/CD Pipeline Config
Mobile App Developer,8500,45,188.89,Crash Reporting Setup
Mobile App Developer,8500,45,188.89,App Accessibility Guidelines
Mobile App Developer,8000,42,190.48,Push Notification Strategy
Mobile App Developer,7500,40,187.5,App Onboarding Flow Spec
Mobile App Developer,7000,40,175.0,Biometric Auth Specification
Mobile App Developer,6800,40,170.0,Mobile Security Checklist
Mobile App Developer,6000,65,92.31,Beta Testing Plan
Mobile App Developer,6000,65,92.31,In-App Review Strategy
Mobile App Developer,5500,65,84.62,Localization String Files
Mobile App Developer,5000,60,83.33,Analytics Event Tracking Spec
Mobile App Developer,4800,60,80.0,App Store Assets Package
Mobile App Developer,4500,60,75.0,Beta Testing Plan
Mobile App Developer,4200,55,76.36,Offline Mode Specification
Mobile App Developer,4000,55,72.73,Background Task Specification
Mobile App Developer,3800,55,69.09,In-App Review Strategy
Mobile App Developer,3500,60,58.33,Localization String Files
Mobile App Developer,3000,85,35.29,Device and OS Target List
Mobile App Developer,3000,85,35.29,Background Task Specification
Mobile App Developer,2500,80,31.25,Device and OS Target List
Mobile App Developer,2500,80,31.25,App Store Assets Package
Mobile App Developer,2000,75,26.67,Offline Mode Specification
Mobile App Developer,2000,75,26.67,Localization String Files
Mobile App Developer,1500,80,18.75,Device and OS Target List
Mobile App Developer,1500,80,18.75,Background Task Specification
Mobile App Developer,1200,85,14.12,Device and OS Target List
Mobile App Developer,1000,90,11.11,Push Notification Plan
Mobile App Developer,15000,33,454.55,Crash Reporting Setup
Mobile App Developer,11000,44,250.0,Deep Linking Configuration
Mobile App Developer,8200,43,190.7,App Onboarding Flow Spec
Mobile App Developer,5800,62,93.55,Offline Mode Specification
Mobile App Developer,4600,58,79.31,Beta Testing Plan
Mobile App Developer,3200,82,39.02,Background Task Specification
Mobile App Developer,17000,34,500.0,Mobile CI/CD Pipeline Config
Mobile App Developer,9200,46,200.0,Analytics Event Tracking Spec
Mobile App Developer,6200,66,93.94,In-App Review Strategy
Mobile App Developer,1800,88,20.45,Device and OS Target List
DevOps Engineer,22000,35,628.57,Multi-Region Deployment Plan
DevOps Engineer,22000,35,628.57,Container Security Baseline
DevOps Engineer,20000,38,526.32,Kubernetes Cluster Config
DevOps Engineer,20000,38,526.32,SLA and SLO Definitions
DevOps Engineer,18000,40,450.0,Observability Stack Architecture
DevOps Engineer,18000,40,450.0,Secrets Management Policy
DevOps Engineer,15000,35,428.57,Alerting and On-Call Runbook
DevOps Engineer,15000,35,428.57,Compliance and Audit Log Setup
DevOps Engineer,12000,30,400.0,Network Topology Diagram
DevOps Engineer,12000,30,400.0,Multi-Region Deployment Plan
DevOps Engineer,10000,45,222.22,Observability Stack Architecture
DevOps Engineer,10000,45,222.22,Kubernetes Cluster Config
DevOps Engineer,9500,45,211.11,Alerting and On-Call Runbook
DevOps Engineer,9000,45,200.0,Rollback Decision Playbook
DevOps Engineer,8500,42,202.38,SLA and SLO Definitions
DevOps Engineer,8500,42,202.38,Load Testing Report
DevOps Engineer,8000,42,190.48,Backup and Restore Test Results
DevOps Engineer,7500,40,187.5,Secrets Management Policy
DevOps Engineer,7000,40,175.0,Container Security Baseline
DevOps Engineer,7000,40,175.0,Runbook Documentation
DevOps Engineer,6500,65,100.0,Log Aggregation Setup
DevOps Engineer,6500,65,100.0,Rollback Decision Playbook
DevOps Engineer,6000,65,92.31,CI/CD Pipeline Configuration
DevOps Engineer,5500,65,84.62,Infrastructure Architecture
DevOps Engineer,5000,60,83.33,Cloud Resource Tagging Policy
DevOps Engineer,4800,60,80.0,Runbook Documentation
DevOps Engineer,4500,60,75.0,Cost Optimization Report
DevOps Engineer,4200,60,70.0,SSL and TLS Certificate Plan
DevOps Engineer,4000,60,66.67,Backup and Restore Test Results
DevOps Engineer,3800,58,65.52,Incident Post-Mortem Template
DevOps Engineer,3000,55,54.55,Docker and Container Config
DevOps Engineer,3000,55,54.55,Environment Parity Checklist
DevOps Engineer,2500,55,45.45,CI/CD Pipeline Configuration
DevOps Engineer,2500,55,45.45,Docker and Container Config
DevOps Engineer,2000,60,33.33,Environment Parity Checklist
DevOps Engineer,2000,60,33.33,SSL and TLS Certificate Plan
DevOps Engineer,1500,65,23.08,Docker and Container Config
DevOps Engineer,1500,65,23.08,Cloud Resource Tagging Policy
DevOps Engineer,1200,70,17.14,Environment Parity Checklist
DevOps Engineer,1000,65,15.38,Docker and Container Config
DevOps Engineer,16500,38,434.21,Container Security Baseline
DevOps Engineer,13000,42,309.52,Kubernetes Cluster Config
DevOps Engineer,8800,44,200.0,Load Testing Report
DevOps Engineer,6200,66,93.94,Log Aggregation Setup
DevOps Engineer,5200,62,83.87,Cost Optimization Report
DevOps Engineer,3200,58,55.17,Rollback Decision Playbook
DevOps Engineer,19000,36,527.78,Multi-Region Deployment Plan
DevOps Engineer,9500,48,197.92,Alerting and On-Call Runbook
DevOps Engineer,5800,64,90.63,Incident Post-Mortem Template
DevOps Engineer,1800,68,26.47,CI/CD Pipeline Configuration
Full Stack Developer,2402,85,28.26,Real-Time Feature Spec
Full Stack Developer,6148,68,90.41,Real-Time Feature Spec
Full Stack Developer,9906,49,202.16,Real-Time Feature Spec
Full Stack Developer,19820,43,460.93,Real-Time Feature Spec
Mobile App Developer,2421,79,30.65,Background Task Specification
Mobile App Developer,5014,61,82.2,Background Task Specification
Mobile App Developer,8887,45,197.49,Background Task Specification
Mobile App Developer,15899,33,481.79,Background Task Specification
Backend Developer,1949,91,21.42,Microservices Architecture Doc
Backend Developer,5057,65,77.8,Microservices Architecture Doc
Backend Developer,9093,48,189.44,Microservices Architecture Doc
Backend Developer,17991,40,449.77,Microservices Architecture Doc
Backend Developer,2076,87,23.86,Microservices Architecture Doc
Frontend Developer,1613,92,17.53,Cross-Device Testing Report
Frontend Developer,4052,60,67.53,Cross-Device Testing Report
Frontend Developer,7144,37,193.08,Cross-Device Testing Report
Frontend Developer,11858,31,382.52,Cross-Device Testing Report
Frontend Developer,1469,90,16.32,Cross-Device Testing Report
Full Stack Developer,2487,88,28.26,Multi-tenancy Architecture Doc
Full Stack Developer,5989,67,89.39,Multi-tenancy Architecture Doc
Full Stack Developer,9974,50,199.48,Multi-tenancy Architecture Doc
Full Stack Developer,19850,40,496.25,Multi-tenancy Architecture Doc
Full Stack Developer,2354,85,27.69,Multi-tenancy Architecture Doc
Full Stack Developer,2619,82,31.94,Session Management Policy
Full Stack Developer,5930,66,89.85,Session Management Policy
Full Stack Developer,10106,51,198.16,Session Management Policy
Full Stack Developer,19820,37,535.68,Session Management Policy
Full Stack Developer,2466,83,29.71,Session Management Policy
Full Stack Developer,2687,82,32.77,Feature Flag Configuration
Full Stack Developer,6115,67,91.27,Feature Flag Configuration
Full Stack Developer,10041,46,218.28,Feature Flag Configuration
Full Stack Developer,20064,38,528.0,Feature Flag Configuration
Full Stack Developer,2352,83,28.34,Feature Flag Configuration
Full Stack Developer,2639,85,31.05,Infrastructure as Code Setup
Full Stack Developer,6166,65,94.86,Infrastructure as Code Setup
Full Stack Developer,10063,51,197.31,Infrastructure as Code Setup
Full Stack Developer,19834,42,472.24,Infrastructure as Code Setup
Full Stack Developer,2380,85,28.0,Infrastructure as Code Setup
Backend Developer,1849,90,20.54,Background Jobs Specification
Backend Developer,4801,67,71.66,Background Jobs Specification
Backend Developer,9189,52,176.71,Background Jobs Specification
Backend Developer,17905,40,447.62,Background Jobs Specification
Backend Developer,2109,91,23.18,Background Jobs Specification
Backend Developer,1990,88,22.61,Search and Indexing Strategy
Backend Developer,5017,65,77.18,Search and Indexing Strategy
Backend Developer,8961,48,186.69,Search and Indexing Strategy
Backend Developer,18069,43,420.21,Search and Indexing Strategy
Backend Developer,2103,93,22.61,Search and Indexing Strategy
Backend Developer,2014,90,22.38,Webhook Integration Guide
Backend Developer,4989,66,75.59,Webhook Integration Guide
Backend Developer,9007,51,176.61,Webhook Integration Guide
Backend Developer,18137,43,421.79,Webhook Integration Guide
Backend Developer,1852,88,21.05,Webhook Integration Guide
Backend Developer,2016,90,22.4,Caching Strategy Document
Backend Developer,4987,65,76.72,Caching Strategy Document
Backend Developer,8840,51,173.33,Caching Strategy Document
Backend Developer,17814,41,434.49,Caching Strategy Document
Backend Developer,1864,87,21.43,Caching Strategy Document
Full Stack Developer,2626,82,32.02,Search Feature Requirements
Full Stack Developer,6143,62,99.08,Search Feature Requirements
Full Stack Developer,9935,51,194.8,Search Feature Requirements
Full Stack Developer,19938,39,511.23,Search Feature Requirements
Full Stack Developer,2380,84,28.33,Search Feature Requirements
Full Stack Developer,2588,84,30.81,File Upload Specification
Full Stack Developer,6060,63,96.19,File Upload Specification
Full Stack Developer,10030,46,218.04,File Upload Specification
Full Stack Developer,19840,40,496.0,File Upload Specification
Full Stack Developer,2434,82,29.68,File Upload Specification
Mobile App Developer,2627,80,32.84,Offline Mode Specification
Mobile App Developer,4832,65,74.34,Offline Mode Specification
Mobile App Developer,8861,45,196.91,Offline Mode Specification
Mobile App Developer,15898,34,467.59,Offline Mode Specification
Mobile App Developer,2659,82,32.43,Offline Mode Specification
Mobile App Developer,2334,77,30.31,Localization String Files
Mobile App Developer,5026,63,79.78,Localization String Files
Mobile App Developer,8930,41,217.8,Localization String Files
Mobile App Developer,15804,32,493.88,Localization String Files
Mobile App Developer,2554,82,31.15,Localization String Files
DevOps Engineer,2158,64,33.72,Container Security Baseline
DevOps Engineer,4692,61,76.92,Container Security Baseline
DevOps Engineer,7814,40,195.35,Container Security Baseline
DevOps Engineer,17841,38,469.5,Container Security Baseline
DevOps Engineer,1978,68,29.09,Container Security Baseline
DevOps Engineer,2151,68,31.63,Kubernetes Cluster Config
DevOps Engineer,4540,58,78.28,Kubernetes Cluster Config
DevOps Engineer,7895,42,187.98,Kubernetes Cluster Config
DevOps Engineer,18021,39,462.08,Kubernetes Cluster Config
DevOps Engineer,2030,66,30.76,Kubernetes Cluster Config
DevOps Engineer,1942,64,30.34,Alerting and On-Call Runbook
DevOps Engineer,4328,58,74.62,Alerting and On-Call Runbook
DevOps Engineer,7812,45,173.6,Alerting and On-Call Runbook
DevOps Engineer,17986,37,486.11,Alerting and On-Call Runbook
DevOps Engineer,1885,65,29.0,Alerting and On-Call Runbook
DevOps Engineer,1865,63,29.6,Multi-Region Deployment Plan
DevOps Engineer,4344,60,72.4,Multi-Region Deployment Plan
DevOps Engineer,7933,42,188.88,Multi-Region Deployment Plan
DevOps Engineer,17827,38,469.13,Multi-Region Deployment Plan
DevOps Engineer,1843,65,28.35,Multi-Region Deployment Plan
Mobile App Developer,2585,82,31.52,In-App Review Strategy
Mobile App Developer,5130,60,85.5,In-App Review Strategy
Mobile App Developer,9147,41,223.1,In-App Review Strategy
Mobile App Developer,16030,36,445.28,In-App Review Strategy
Mobile App Developer,2524,77,32.78,In-App Review Strategy
UI/UX Designer,2176,74,29.41,Copy and Microcopy Guidelines
UI/UX Designer,4420,55,80.36,Copy and Microcopy Guidelines
UI/UX Designer,7532,37,203.57,Copy and Microcopy Guidelines
UI/UX Designer,12158,28,434.21,Copy and Microcopy Guidelines
UI/UX Designer,1936,77,25.14,Copy and Microcopy Guidelines
Mobile App Developer,2464,77,32.0,Beta Testing Plan
Mobile App Developer,5106,60,85.1,Beta Testing Plan
Mobile App Developer,8971,47,190.87,Beta Testing Plan
Mobile App Developer,16114,36,447.61,Beta Testing Plan
Mobile App Developer,2459,77,31.94,Beta Testing Plan
Mobile App Developer,2479,77,32.19,Crash Reporting Setup
Mobile App Developer,5117,59,86.73,Crash Reporting Setup
Mobile App Developer,8851,44,201.16,Crash Reporting Setup
Mobile App Developer,16094,32,502.94,Crash Reporting Setup
Mobile App Developer,2686,77,34.88,Crash Reporting Setup
UI/UX Designer,1900,72,26.39,Design QA Checklist
UI/UX Designer,4380,54,81.11,Design QA Checklist
UI/UX Designer,7412,36,205.89,Design QA Checklist
UI/UX Designer,11929,26,458.81,Design QA Checklist
UI/UX Designer,1853,78,23.76,Design QA Checklist
Mobile App Developer,2523,77,32.77,Mobile CI/CD Pipeline Config
Mobile App Developer,5184,61,84.98,Mobile CI/CD Pipeline Config
Mobile App Developer,8925,42,212.5,Mobile CI/CD Pipeline Config
Mobile App Developer,15852,34,466.24,Mobile CI/CD Pipeline Config
Mobile App Developer,2517,82,30.7,Mobile CI/CD Pipeline Config
UI/UX Designer,2046,75,27.28,User Journey Maps
UI/UX Designer,4502,54,83.37,User Journey Maps
UI/UX Designer,7700,41,187.8,User Journey Maps
UI/UX Designer,12093,27,447.89,User Journey Maps
UI/UX Designer,2171,73,29.74,User Journey Maps
Frontend Developer,1497,92,16.27,Animation and Motion Guidelines
Frontend Developer,4194,63,66.57,Animation and Motion Guidelines
Frontend Developer,7039,37,190.24,Animation and Motion Guidelines
Frontend Developer,12000,28,428.57,Animation and Motion Guidelines
Frontend Developer,1486,92,16.15,Animation and Motion Guidelines
DevOps Engineer,2148,64,33.56,Backup and Restore Test Results
DevOps Engineer,4447,58,76.67,Backup and Restore Test Results
DevOps Engineer,8145,41,198.66,Backup and Restore Test Results
DevOps Engineer,17946,38,472.26,Backup and Restore Test Results
DevOps Engineer,2151,68,31.63,Backup and Restore Test Results
DevOps Engineer,4607,55,83.76,Backup and Restore Test Results
Mobile App Developer,2427,83,29.24,Push Notification Strategy
Mobile App Developer,5137,59,87.07,Push Notification Strategy
Mobile App Developer,9066,44,206.05,Push Notification Strategy
Mobile App Developer,15950,37,431.08,Push Notification Strategy
Mobile App Developer,2597,79,32.87,Push Notification Strategy
Mobile App Developer,5062,62,81.65,Push Notification Strategy
Full Stack Developer,2443,83,29.43,Email and Notification Templates
Full Stack Developer,5911,62,95.34,Email and Notification Templates
Full Stack Developer,9859,45,219.09,Email and Notification Templates
Full Stack Developer,19801,37,535.16,Email and Notification Templates
Full Stack Developer,2603,87,29.92,Email and Notification Templates
Full Stack Developer,5939,66,89.98,Email and Notification Templates
Full Stack Developer,2336,84,27.81,Localization and i18n Plan
Full Stack Developer,5808,62,93.68,Localization and i18n Plan
Full Stack Developer,9898,47,210.6,Localization and i18n Plan
Full Stack Developer,20103,39,515.46,Localization and i18n Plan
Full Stack Developer,2451,87,28.17,Localization and i18n Plan
Full Stack Developer,5919,62,95.47,Localization and i18n Plan
Backend Developer,1915,89,21.52,Pagination Standard
Backend Developer,4912,65,75.57,Pagination Standard
Backend Developer,8903,50,178.06,Pagination Standard
Backend Developer,18053,39,462.9,Pagination Standard
Backend Developer,1911,92,20.77,Pagination Standard
Backend Developer,4898,62,79.0,Pagination Standard
Backend Developer,2148,88,24.41,Queue Architecture Doc
Backend Developer,5183,67,77.36,Queue Architecture Doc
Backend Developer,9137,48,190.35,Queue Architecture Doc
Backend Developer,18109,39,464.33,Queue Architecture Doc
Backend Developer,2007,91,22.05,Queue Architecture Doc
Backend Developer,4968,65,76.43,Queue Architecture Doc
Backend Developer,1960,90,21.78,Data Anonymization Plan
Backend Developer,5088,67,75.94,Data Anonymization Plan
Backend Developer,9076,50,181.52,Data Anonymization Plan
Backend Developer,18183,43,422.86,Data Anonymization Plan
Backend Developer,1994,87,22.92,Data Anonymization Plan
Backend Developer,4927,62,79.47,Data Anonymization Plan
Full Stack Developer,2475,85,29.12,Onboarding Flow Documentation
Full Stack Developer,6170,67,92.09,Onboarding Flow Documentation
Full Stack Developer,10174,50,203.48,Onboarding Flow Documentation
Full Stack Developer,20037,42,477.07,Onboarding Flow Documentation
Full Stack Developer,2337,87,26.86,Onboarding Flow Documentation
Full Stack Developer,6164,64,96.31,Onboarding Flow Documentation
Frontend Developer,1563,89,17.56,Asset Delivery Guidelines
Frontend Developer,3826,58,65.97,Asset Delivery Guidelines
Frontend Developer,7076,42,168.48,Asset Delivery Guidelines
Frontend Developer,11896,28,424.86,Asset Delivery Guidelines
Frontend Developer,1666,87,19.15,Asset Delivery Guidelines
Frontend Developer,4116,59,69.76,Asset Delivery Guidelines
Frontend Developer,1303,89,14.64,Build and Bundle Config
Frontend Developer,3991,57,70.02,Build and Bundle Config
Frontend Developer,6816,40,170.4,Build and Bundle Config
Frontend Developer,12019,30,400.63,Build and Bundle Config
Frontend Developer,1345,91,14.78,Build and Bundle Config
